"TABLE A - Key Employment Indicators with Measures of Precision, Philippines:",,,,,,,,,,,,,,,,,,,,,,
"October 2020f, July 2021p, September 2021p and October 2021p",,,,,,,,,,,,,,,,,,,,,,
(In Thousands Except Rates),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,October 2020f                          ,,,,July 2021p                           ,,,,September 2021p                           ,,,,October 2021p                           ,,,,Increment/ (Decrement),,Growth Rate,,,
Youth Underemployment (%),12.5,0.6,11.5,13.5,19.0,0.5,18.2,19.9,12.8,1.1,11.1,14.6,14.6,0.7,13.4,15.7,1.8,2.0,13.7 ,16.3 ,,
Youth Unemployment Rate (%),19.4,0.6,18.4,20.5,15.4,0.5,14.6,16.2,17.7,1.2,15.6,19.7,15.1,0.5,14.3,16.0,-2.6,-4.3,(14.5),(22.2),,
 Youth NEET as % of youth population,20.4,0.3,19.9,21.0,17.5,0.0,17.5,17.5,,,,,13.9,0.3,13.4,14.3,,-6.6,,(32.1),,
 Proportion of Youth New Entrants to the Youth Labor Force,10.2,0.4,9.5,10.9,21.5,0.6,20.5,22.5,,,,,12.1,0.5,11.2,12.9,,1.9,,18.3 ,,
 Youth Mean Hours of Work,38.3,0.3,37.8,38.8,39.6,0.2,39.3,39.9,37.7,0.5,36.9,38.6,36.5,0.3,36.0,37.0,-1.2,-1.8,(3.2),(4.7),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes: Details may not add up to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,
           p - Preliminary.,,,,,,,,,,,,,,,,,,,,,,
           f - Final.,,,,,,,,,,,,,,,,,,,,,,
1 Includes number of underemployed persons who were with jobs but did not work during the reference period. ,,,,,,,,,,,,,,,,,,,,,,
" NEET - Not in employment, education or training",,,,,,,,,,,,,,,,,,,,,,
            All estimates used the 2015 POPCEN-based Population Projection.,,,,,,,,,,,,,,,,,,,,,,
"Source: Philippine Statistics Authority, Labor Force Survey",,,,,,,,,,,,,,,,,,,,,,
